trial,detection_rate,false_positive_rate,capex_M,reactive_annual_tco_M,nadissp_annual_tco_M,reactive_5yr_tco_M,nadissp_5yr_tco_M,delta_tco_M,npv_M,payback_year,irr,ac_cmaps_turbofan,ac_ai4i_manufacturing,ac_3w_offshore_well,ac_espset_pump
2344,0.8288,0.1409,507.82,460.21,238.38,2301.04,1191.92,950.604,442.784,3.0,0.2533,572.804,535.996,192.643,0.24
2345,0.8382,0.059,424.651,469.59,278.28,2347.95,1391.38,776.855,352.204,3.0,0.2422,201.526,251.222,329.793,447.139
2346,0.8971,0.1693,230.937,437.25,269.8,2186.26,1349.01,749.946,519.009,2.0,0.5844,277.644,143.19,385.947,396.976
2347,0.8659,0.0808,420.069,634.92,315.34,3174.62,1576.69,1308.26,888.192,2.0,0.5542,359.405,306.717,582.935,510.443
2348,0.7043,0.0197,439.043,577.04,112.81,2885.19,564.03,2021.067,1582.024,2.0,0.8816,317.601,535.387,486.833,704.899
2349,0.8857,0.1223,275.182,486.45,126.97,2432.26,634.86,1541.968,1266.785,1.0,1.0928,738.259,219.251,433.571,275.414
2350,0.8404,0.1411,268.366,667.02,289.11,3335.11,1445.55,1651.913,1383.547,1.0,1.2076,561.209,65.683,404.837,1013.79
2351,0.8703,0.1674,422.86,273.67,175.47,1368.33,877.33,440.143,17.282,5.0,0.0135,415.041,164.421,0.0,123.612
2352,0.8508,0.031,406.687,644.35,236.26,3221.75,1181.31,1738.598,1331.911,2.0,0.8111,460.608,303.32,468.195,786.052
2353,0.9184,0.1438,287.976,346.25,140.81,1731.24,704.07,875.802,587.826,2.0,0.5374,0.0,319.484,169.251,570.875
2354,0.6349,0.2153,281.286,398.13,211.89,1990.63,1059.47,808.177,526.891,2.0,0.4986,350.165,394.406,339.206,48.387
2355,0.8382,0.1882,398.95,369.32,138.26,1846.59,691.28,1038.57,639.62,2.0,0.4351,523.492,204.677,309.176,184.323
2356,0.7676,0.1684,333.854,480.86,248.46,2404.28,1242.28,995.358,661.504,2.0,0.5237,337.977,128.596,195.333,640.608
2357,0.8835,0.1462,269.223,862.09,380.52,4310.43,1902.62,2111.057,1841.834,1.0,1.5538,766.831,365.161,961.541,486.075
2358,0.7203,0.239,400.284,319.49,53.54,1597.45,267.69,1098.17,697.886,2.0,0.4683,408.103,274.507,125.129,333.144
2359,0.8427,0.1942,359.956,471.03,361.17,2355.17,1805.86,482.89,122.934,4.0,0.1067,556.127,326.083,193.483,-179.652
2360,0.7974,0.2317,346.246,862.32,179.7,4311.58,898.48,3002.457,2656.211,1.0,1.7227,340.239,549.568,1177.824,977.071
2361,0.5247,0.1434,392.733,430.77,281.38,2153.87,1406.88,637.122,244.389,4.0,0.1864,459.632,169.063,309.162,130.159
2362,0.9441,0.0566,389.884,721.99,194.23,3609.93,971.17,2294.735,1904.852,1.0,1.1516,679.366,626.422,606.572,510.234
2363,0.7697,0.1028,426.014,409.54,54.44,2047.69,272.22,1537.815,1111.801,2.0,0.6656,412.446,326.005,286.362,470.786
2364,0.8791,0.0943,319.168,340.0,33.9,1700.01,169.51,1323.393,1004.225,2.0,0.7833,384.358,180.053,295.663,411.921
2365,0.8589,0.2758,314.189,403.0,117.85,2014.99,589.27,1258.518,944.33,2.0,0.7527,286.889,511.779,252.752,371.126
2366,0.7016,0.0318,417.585,636.21,339.79,3181.03,1698.97,1333.715,916.13,2.0,0.5723,623.039,378.61,365.688,372.346
2367,0.886,0.1103,333.214,829.89,249.06,4149.46,1245.32,2536.386,2203.172,1.0,1.507,489.609,721.876,581.551,1056.887
2368,0.8147,0.328,402.447,410.54,255.16,2052.72,1275.82,721.923,319.476,3.0,0.2327,277.497,348.95,130.734,417.145
2369,0.8097,0.1598,456.973,482.37,245.27,2411.84,1226.33,956.715,499.742,3.0,0.3103,391.806,488.518,362.231,100.641
2370,0.8795,0.057,286.955,504.44,110.12,2522.19,550.61,1722.313,1435.358,1.0,1.1758,331.003,389.472,245.523,856.634
2371,0.9166,0.1862,418.312,697.46,392.4,3487.29,1962.0,1360.878,942.566,2.0,0.5858,506.663,410.626,434.916,659.087
2372,0.8906,0.0771,262.759,507.68,173.77,2538.42,868.86,1404.462,1141.703,1.0,1.0387,422.903,245.287,377.468,551.113
2373,0.8087,0.0719,287.548,539.43,234.33,2697.13,1171.65,1339.844,1052.296,2.0,0.8936,402.904,99.29,707.455,417.611
2374,0.8117,0.3165,226.247,506.8,159.37,2533.98,796.83,1522.574,1296.327,1.0,1.3262,364.819,358.772,654.167,359.279
2375,0.7927,0.1677,353.532,472.21,230.37,2361.07,1151.84,1019.505,665.973,2.0,0.5011,134.602,223.328,405.971,602.215
2376,0.8344,0.0906,467.454,434.81,272.24,2174.07,1361.19,715.456,248.002,4.0,0.161,56.107,241.625,319.616,497.168
2377,0.8101,0.0827,393.46,438.85,194.38,2194.24,971.91,1037.404,643.944,2.0,0.4431,284.396,129.468,303.385,568.646
2378,0.9106,0.0402,460.493,424.96,127.47,2124.81,637.33,1342.498,882.005,2.0,0.5084,468.434,473.157,398.529,107.854
2379,0.6459,0.3176,391.153,548.89,113.28,2744.46,566.4,1893.398,1502.245,2.0,0.9322,510.34,198.232,578.151,606.291
2380,0.8075,0.2305,364.385,381.78,249.88,1908.88,1249.38,572.541,208.155,4.0,0.1723,218.497,171.724,429.402,273.368
2381,0.833,0.1348,395.906,465.26,294.56,2326.29,1472.81,817.193,421.287,3.0,0.3028,164.609,216.306,117.767,984.778
2382,0.8823,0.0246,255.551,456.15,139.68,2280.73,698.4,1383.681,1128.13,1.0,1.0532,223.812,259.586,403.341,697.07
2383,0.6975,0.0907,274.058,352.75,120.47,1763.73,602.36,1045.803,771.745,2.0,0.7112,122.762,287.991,349.463,456.101
2384,0.817,0.0628,347.951,498.25,297.68,2491.25,1488.39,833.527,485.576,3.0,0.3851,241.729,436.535,367.612,121.028
2385,0.9248,0.1628,295.272,483.33,59.13,2416.65,295.64,1819.4,1524.128,1.0,1.2089,284.287,296.129,582.127,586.163
2386,0.8158,0.0209,385.551,722.22,146.98,3611.09,734.9,2427.116,2041.565,1.0,1.2365,660.653,799.306,375.763,783.024
2387,0.732,0.1498,279.331,357.03,194.44,1785.16,972.19,736.743,457.411,2.0,0.4433,335.618,280.846,172.141,331.552
2388,0.8695,0.2657,297.382,557.15,315.26,2785.74,1576.29,1094.468,797.086,2.0,0.6813,369.843,260.514,164.418,665.653
2389,0.8558,0.0472,354.897,685.87,146.07,3429.36,730.37,2383.675,2028.778,1.0,1.3235,652.544,455.68,396.607,931.406
2390,0.7246,0.2277,308.807,486.3,163.18,2431.52,815.91,1363.085,1054.278,2.0,0.8411,503.858,357.395,130.672,572.05
2391,0.8228,0.2285,332.502,559.51,97.59,2797.55,487.95,2013.804,1681.302,1.0,1.1871,450.978,425.485,540.997,595.199
2392,0.8933,0.0626,398.248,369.41,209.31,1847.05,1046.53,709.936,311.687,3.0,0.2298,658.727,145.28,191.282,-42.715
2393,0.8821,0.1838,322.336,506.3,290.51,2531.51,1452.54,953.048,630.712,2.0,0.518,396.941,177.953,249.182,631.908
2394,0.8997,0.0455,481.458,589.3,65.97,2946.49,329.84,2305.782,1824.324,2.0,0.9212,593.241,456.319,451.622,721.5
2395,0.8757,0.1491,293.33,727.36,24.82,3636.81,124.09,3013.689,2720.359,1.0,2.047,532.577,860.028,1059.58,348.297
2396,0.6676,0.2493,290.94,531.84,143.69,2659.21,718.43,1686.049,1395.108,1.0,1.1328,380.341,483.403,196.948,821.741
2397,0.8582,0.0902,368.999,418.0,42.45,2090.01,212.23,1617.458,1248.458,2.0,0.8345,515.275,304.558,293.399,430.24
2398,0.8449,0.095,348.318,262.01,227.98,1310.03,1139.9,216.389,-131.929,,,115.694,0.0,111.721,538.548
2399,0.9309,0.1089,275.869,199.51,123.82,997.56,619.08,294.731,18.862,5.0,0.0225,216.243,61.608,28.224,147.618
2400,0.8337,0.0988,481.307,430.27,169.68,2151.36,848.38,1147.739,666.432,3.0,0.3825,831.086,289.915,147.204,124.044
2401,0.7921,0.1025,303.416,478.06,170.3,2390.31,851.52,1308.289,1004.873,2.0,0.8191,48.972,734.997,446.216,229.99
2402,0.9448,0.4618,423.414,162.12,67.38,810.59,336.9,461.015,37.602,5.0,0.029,44.691,242.005,188.403,96.962
2403,0.8285,0.1801,392.978,425.72,214.09,2128.62,1070.46,882.374,489.396,3.0,0.3483,456.311,225.543,198.286,289.967
2404,0.8175,0.1389,245.451,344.76,100.91,1723.8,504.56,1056.388,810.937,2.0,0.8174,474.274,309.228,47.971,301.697
2405,0.8331,0.1365,248.046,337.36,194.91,1686.78,974.54,637.42,389.374,2.0,0.4271,140.354,0.0,659.671,256.686
2406,0.7347,0.1401,387.529,298.51,99.32,1492.57,496.58,849.99,462.46,3.0,0.3354,253.097,208.619,230.649,312.29
2407,0.8535,0.1163,418.476,464.07,169.76,2320.34,848.79,1281.064,862.589,2.0,0.542,357.031,664.161,238.127,219.692
2408,0.8724,0.1452,287.817,774.16,253.85,3870.81,1269.24,2200.058,1912.24,1.0,1.5136,400.907,697.894,550.921,875.8
2409,0.8467,0.2545,270.664,309.69,147.81,1548.46,739.04,718.881,448.217,2.0,0.4476,128.675,28.141,313.583,458.33
2410,0.8375,0.0664,390.294,374.99,139.71,1874.95,698.55,1042.93,652.636,2.0,0.4515,192.314,183.988,336.027,513.468
2411,0.895,0.3037,400.759,285.64,199.61,1428.2,998.06,378.107,-22.652,,,337.508,73.103,157.133,92.084
2412,0.8716,0.3242,329.365,518.09,326.69,2590.43,1633.45,780.733,451.369,3.0,0.379,347.159,127.702,570.769,221.807
2413,0.5226,0.0304,249.392,475.96,380.36,2379.78,1901.8,362.783,113.391,4.0,0.1395,410.933,346.462,108.978,104.587
2414,0.7827,0.0819,389.937,589.07,172.44,2945.35,862.18,1777.163,1387.227,2.0,0.8718,529.007,222.411,307.863,920.503
2415,0.7995,0.1401,358.857,378.53,181.85,1892.66,909.26,839.33,480.473,3.0,0.3713,128.8,405.653,302.447,299.39
2416,0.8069,0.0936,412.75,435.37,313.23,2176.87,1566.16,529.686,116.936,4.0,0.0894,489.054,167.064,136.11,-41.012
2417,0.8009,0.1032,352.434,569.07,200.37,2845.35,1001.87,1604.256,1251.822,2.0,0.8706,505.532,182.957,553.857,642.938
2418,0.9386,0.133,334.89,636.53,158.97,3182.63,794.85,2052.29,1717.4,1.0,1.202,600.554,220.057,840.467,420.273
2419,0.7855,0.0422,344.69,382.06,298.49,1910.28,1492.47,355.526,10.836,5.0,0.0104,310.459,261.414,141.935,91.413
2420,0.8681,0.2081,331.168,456.0,149.2,2280.02,745.99,1344.703,1013.535,2.0,0.7646,820.234,264.409,235.048,207.713
2421,0.7909,0.2155,279.694,594.59,197.68,2972.94,988.4,1668.989,1389.295,1.0,1.1686,455.688,615.375,440.706,421.662
2422,0.7826,0.1166,473.637,371.14,189.96,1855.69,949.81,756.731,283.094,4.0,0.1797,50.541,-19.673,410.958,500.985
2423,0.7637,0.032,488.01,623.19,160.64,3115.95,803.19,1974.966,1486.956,2.0,0.7617,535.312,191.026,223.952,1180.807
2424,0.8043,0.0333,249.04,624.42,209.58,3122.09,1047.9,1757.009,1507.969,1.0,1.393,316.651,239.865,569.837,722.709
2425,0.8532,0.1354,341.961,392.27,187.35,1961.35,936.75,845.772,503.811,3.0,0.404,127.761,447.16,304.268,388.072
2426,0.8174,0.0924,291.724,357.06,168.74,1785.3,843.69,811.393,519.669,2.0,0.4772,504.91,236.949,123.425,214.768
2427,0.7649,0.0324,419.205,493.04,179.91,2465.22,899.56,1375.719,956.515,2.0,0.5922,454.322,107.49,451.217,616.372
2428,0.9381,0.0289,347.208,353.92,133.03,1769.6,665.17,991.88,644.672,2.0,0.4948,88.157,535.81,304.347,245.287
2429,0.8185,0.1228,442.669,517.03,195.9,2585.17,979.52,1339.144,896.475,2.0,0.5337,549.644,320.46,313.063,527.032
2430,0.8744,0.1344,404.04,503.83,203.71,2519.17,1018.56,1275.077,871.037,2.0,0.5636,725.829,328.25,38.329,365.495
2431,0.7719,0.0494,255.174,567.26,298.85,2836.29,1494.27,1185.479,930.305,2.0,0.8907,503.544,637.24,221.79,174.898
2432,0.8038,0.1931,327.739,612.62,384.98,3063.09,1924.88,1090.348,762.609,2.0,0.6024,244.01,298.388,662.23,319.283
2433,0.8806,0.1413,464.183,525.24,540.11,2626.2,2700.55,-108.57,-572.753,,,276.226,181.868,223.327,-101.906
2434,0.7754,0.0426,503.579,446.39,221.12,2231.95,1105.6,933.029,429.45,3.0,0.2483,335.835,442.565,297.35,72.514
2435,0.7347,0.2115,247.202,359.58,159.38,1797.88,796.89,851.675,604.474,2.0,0.629,375.007,327.735,0.0,358.899
2436,0.7708,0.0913,354.319,573.38,132.0,2866.88,660.02,1922.565,1568.246,1.0,1.0557,445.499,515.914,637.448,420.155
2437,0.9205,0.2063,338.393,390.98,353.29,1954.92,1766.46,140.655,-197.738,,,189.685,-23.455,272.684,397.019
2438,0.8902,0.3617,444.167,585.11,208.97,2925.57,1044.87,1600.758,1156.591,2.0,0.6644,472.487,431.532,396.241,584.835
2439,0.8437,0.0523,446.657,627.88,104.62,3139.4,523.08,2220.598,1773.94,2.0,0.9599,655.745,399.568,539.465,709.196
2440,0.8725,0.1071,314.975,454.4,457.91,2272.01,2289.57,5.155,-309.82,,,398.821,347.032,0.0,171.211
2441,0.9101,0.032,575.712,543.3,198.65,2716.51,993.25,1482.999,907.286,2.0,0.4286,168.111,220.858,448.217,923.053
2442,0.7306,0.2,285.25,240.05,59.99,1200.27,299.95,782.588,497.339,2.0,0.4683,145.638,95.439,159.507,444.581
2443,0.9471,0.217,365.674,414.75,92.24,2073.74,461.2,1332.78,967.107,2.0,0.6734,383.085,294.557,512.59,162.563
2444,0.8567,0.1224,490.586,593.11,82.3,2965.56,411.49,2208.588,1718.002,2.0,0.8599,331.93,292.656,480.043,1147.305
2445,0.9003,0.1065,358.267,724.3,221.19,3621.49,1105.97,2182.653,1824.386,1.0,1.1945,592.714,547.687,650.797,617.384
2446,0.859,0.3062,362.726,457.91,255.57,2289.57,1277.87,853.563,490.837,3.0,0.3748,288.786,396.18,0.0,608.528
2447,0.848,0.0291,329.313,498.64,150.42,2493.18,752.12,1538.387,1209.074,2.0,0.8962,898.911,277.988,254.456,227.769
2448,0.7458,0.1971,375.351,581.71,163.01,2908.56,815.07,1803.791,1428.44,2.0,0.9247,538.455,227.685,456.214,803.074
2449,0.7538,0.0649,307.087,586.53,213.71,2932.63,1068.55,1595.256,1288.169,1.0,1.0071,735.006,225.603,171.258,720.564
2450,0.8377,0.0469,229.678,599.23,278.36,2996.14,1391.79,1406.597,1176.918,1.0,1.2011,441.127,388.994,220.165,723.729
2451,0.7395,0.1628,438.435,99.17,54.96,495.84,274.78,198.608,-239.828,,,0.0,65.446,207.762,4.398
2452,0.7525,0.1145,457.987,510.66,232.87,2553.31,1164.33,1202.245,744.258,2.0,0.4403,388.223,265.353,363.763,574.517
2453,0.8414,0.0567,616.798,509.28,118.89,2546.38,594.46,1681.276,1064.478,2.0,0.4641,483.875,462.488,599.358,246.29
2454,0.8255,0.0263,503.467,732.18,346.67,3660.91,1733.34,1600.797,1097.33,2.0,0.569,439.705,650.451,474.29,483.402
2455,0.8038,0.1679,298.497,515.03,342.29,2575.15,1711.43,730.143,431.647,3.0,0.3974,579.465,291.973,173.734,132.035
2456,0.7772,0.0995,418.995,522.33,107.2,2611.67,535.99,1822.797,1403.802,2.0,0.8274,491.373,294.272,354.705,666.09
2457,0.899,0.0687,362.837,459.86,309.55,2299.28,1547.76,650.197,287.36,3.0,0.2323,408.35,105.846,-27.298,581.994
2458,0.8805,0.1386,277.603,519.81,396.21,2599.03,1981.06,575.091,297.488,3.0,0.3048,439.366,381.444,126.393,237.995
2459,0.8429,0.1216,390.438,401.68,34.97,2008.42,174.87,1571.577,1181.139,2.0,0.7569,341.454,271.748,412.695,430.158
2460,0.9141,0.0695,543.45,305.29,83.06,1526.46,415.28,977.975,434.525,3.0,0.2343,186.694,133.054,193.344,542.979
2461,0.7191,0.0125,339.992,549.01,138.46,2745.07,692.31,1797.731,1457.74,1.0,1.0266,441.203,590.258,421.578,422.717
2462,0.8395,0.0433,271.53,329.73,52.99,1648.64,264.96,1164.95,893.42,2.0,0.8144,490.565,349.67,158.062,171.676
2463,0.7892,0.0708,411.805,492.9,185.82,2464.51,929.11,1295.479,883.674,2.0,0.5614,234.53,118.766,710.111,348.735
2464,0.8781,0.1708,335.806,723.94,273.65,3619.68,1368.23,1967.737,1631.932,1.0,1.1462,668.63,574.934,802.735,258.626
2465,0.925,0.2044,335.102,638.73,58.05,3193.63,290.27,2534.964,2199.861,1.0,1.4974,632.159,320.613,863.538,558.824
2466,0.8412,0.0999,400.625,347.01,103.28,1735.03,516.38,1050.122,649.497,2.0,0.4394,404.403,227.593,0.0,583.857
2467,0.7621,0.0368,507.915,586.72,125.4,2933.6,627.01,1996.026,1488.111,2.0,0.7361,130.281,338.838,607.133,997.347
2468,0.7847,0.2586,356.327,649.68,162.59,3248.42,812.94,2177.095,1820.768,1.0,1.1982,591.391,366.767,824.04,625.354
2469,0.8696,0.0904,405.136,562.43,252.05,2812.14,1260.25,1340.943,935.807,2.0,0.5986,479.809,578.582,219.337,424.139
2470,0.8095,0.1166,314.869,384.04,177.06,1920.18,885.29,921.544,606.675,2.0,0.511,145.055,480.879,338.143,194.444
2471,0.8746,0.2389,396.692,204.57,15.87,1022.85,79.33,873.221,476.529,3.0,0.3373,43.904,25.491,347.796,374.025
2472,0.8159,0.1443,367.578,498.09,189.08,2490.45,945.4,1323.794,956.216,2.0,0.6638,939.418,375.215,98.539,98.703
2473,0.8181,0.1098,449.165,535.22,84.42,2676.1,422.08,1956.899,1507.734,2.0,0.8287,106.876,750.217,509.358,653.119
2474,0.8807,0.1363,456.429,769.03,345.97,3845.15,1729.83,1840.478,1384.05,2.0,0.7585,817.112,402.73,414.697,581.454
2475,0.8561,0.4212,337.952,650.24,283.57,3251.21,1417.87,1622.454,1284.502,2.0,0.9237,884.266,437.867,176.561,538.952
2476,0.8458,0.1135,330.506,183.43,76.74,917.14,383.72,454.574,124.067,4.0,0.1166,89.484,209.283,29.3,254.886
2477,0.8149,0.1659,333.575,351.4,245.13,1757.0,1225.67,492.142,158.567,4.0,0.1454,371.312,100.561,196.154,305.691
2478,0.769,0.1429,469.354,496.48,121.39,2482.42,606.94,1680.415,1211.061,2.0,0.6591,248.471,504.148,520.711,492.581
2479,0.7879,0.0449,315.484,701.42,151.02,3507.12,755.08,2478.339,2162.855,1.0,1.5568,620.669,621.517,422.992,769.95
2480,0.9417,0.0769,323.397,524.22,264.48,2621.08,1322.42,1165.618,842.221,2.0,0.6644,262.042,301.853,444.291,458.594
2481,0.7534,0.0395,320.876,179.44,40.17,897.22,200.83,582.919,262.043,3.0,0.2388,240.807,56.372,180.191,93.24
2482,0.791,0.0918,395.588,467.53,45.46,2337.64,227.29,1837.72,1442.132,2.0,0.8906,177.101,596.729,289.01,746.747
2483,0.8675,0.1461,226.649,198.29,103.23,991.47,516.13,443.543,216.894,3.0,0.2754,138.264,123.547,0.0,317.903
2484,0.804,0.1012,302.218,643.73,333.42,3218.67,1667.08,1282.693,980.475,2.0,0.8045,862.242,71.759,692.894,-10.957
2485,0.816,0.1921,303.691,500.83,157.9,2504.14,789.48,1428.844,1125.153,2.0,0.9033,252.835,167.269,537.265,711.427
2486,0.7749,0.1,387.621,610.15,256.68,3050.73,1283.4,1553.919,1166.297,2.0,0.7534,701.993,775.234,319.739,21.083
2487,0.8572,0.1486,334.053,559.86,417.74,2799.32,2088.69,613.043,278.99,3.0,0.2437,551.375,167.366,317.902,137.724
2488,0.8235,0.0755,345.681,328.84,307.91,1644.2,1539.55,58.401,-287.281,,,255.31,143.043,117.446,-62.205
2489,0.9248,0.1658,438.214,532.99,181.22,2664.95,906.08,1428.125,989.912,2.0,0.5871,427.559,177.538,326.775,705.64
2490,0.8225,0.0734,308.836,398.11,151.38,1990.57,756.92,1047.123,738.287,2.0,0.6167,64.853,297.501,546.835,308.037
2491,0.8717,0.0966,303.873,276.31,49.63,1381.54,248.13,924.693,620.821,2.0,0.5378,60.388,487.283,215.495,160.818
2492,0.7154,0.0407,327.164,410.72,161.26,2053.61,806.3,1057.748,730.584,2.0,0.5812,268.065,296.734,282.652,453.366
2493,0.9115,0.2002,248.6,422.37,148.67,2111.84,743.33,1200.491,951.891,2.0,0.9297,363.453,487.271,108.131,427.706
2494,0.8629,0.0467,440.55,299.38,97.86,1496.91,489.29,910.258,469.707,3.0,0.3034,78.379,318.999,242.876,377.968
2495,0.8934,0.0771,384.756,462.41,71.55,2312.07,357.77,1703.22,1318.464,2.0,0.8438,510.008,355.4,305.552,510.139
2496,0.723,0.1113,304.681,473.49,338.87,2367.46,1694.36,615.594,310.912,3.0,0.2917,227.946,394.264,72.113,448.589
2497,0.8604,0.0774,332.815,679.24,154.44,3396.22,772.2,2219.61,1886.795,1.0,1.3137,913.48,204.776,521.664,619.182
2498,0.9318,0.1386,310.099,390.93,134.4,1954.67,671.99,1063.565,753.466,2.0,0.6255,483.886,122.768,394.961,160.202
2499,0.9298,0.0756,312.432,552.58,109.85,2762.91,549.24,1883.688,1571.256,1.0,1.1814,542.447,305.036,391.419,714.653
2500,0.9087,0.0836,298.48,379.84,236.3,1899.2,1181.51,632.821,334.341,3.0,0.317,150.713,235.121,199.603,481.814
2501,0.8518,0.2356,392.348,653.72,235.5,3268.62,1177.51,1775.44,1383.092,2.0,0.8649,464.33,558.131,547.333,535.98
2502,0.8857,0.1656,312.277,340.98,125.38,1704.91,626.89,970.868,658.591,2.0,0.553,180.759,217.068,188.558,596.978
2503,0.9013,0.2198,308.179,262.18,199.09,1310.92,995.46,321.722,13.543,5.0,0.0145,208.302,146.691,462.738,-144.751
2504,0.6966,0.1909,322.642,784.75,149.4,3923.76,747.02,2845.578,2522.936,1.0,1.7528,630.585,532.304,575.202,1240.065
2505,0.8437,0.0912,300.785,294.01,118.47,1470.04,592.35,781.793,481.008,2.0,0.4342,391.585,117.31,163.979,270.955
2506,0.9074,0.0585,288.5,416.96,421.41,2084.82,2107.06,24.381,-264.118,,,126.531,215.17,385.381,64.992
2507,0.8932,0.2473,305.999,566.51,272.99,2832.53,1364.95,1303.369,997.37,2.0,0.8078,519.843,566.076,420.82,273.651
2508,0.8564,0.0409,317.475,679.34,282.39,3396.72,1411.93,1764.981,1447.506,1.0,1.0836,373.354,332.603,523.224,851.01
2509,0.7905,0.1904,247.389,517.4,50.44,2587.02,252.2,2013.341,1765.952,1.0,1.6143,430.288,628.647,274.518,638.259
2510,0.6779,0.0513,463.307,515.02,207.88,2575.1,1039.39,1322.381,859.074,2.0,0.4942,794.983,251.949,313.55,260.204
2511,0.8804,0.2696,300.728,800.47,427.78,4002.37,2138.9,1562.335,1261.607,1.0,1.0071,456.437,425.883,431.064,637.525
2512,0.8206,0.2531,292.431,356.03,161.15,1780.16,805.75,836.637,544.206,2.0,0.4958,406.773,80.589,192.275,375.629
2513,0.7513,0.2485,331.184,813.02,42.91,4065.11,214.55,3302.646,2971.462,1.0,1.986,972.47,452.47,859.31,854.335
2514,0.6943,0.0554,463.023,232.36,88.65,1161.81,443.23,629.378,166.355,4.0,0.1119,143.048,481.675,0.0,179.85
2515,0.7252,0.1137,306.857,506.4,233.68,2532.02,1168.41,1154.692,847.835,2.0,0.6995,517.837,661.647,205.709,75.804
2516,0.7495,0.2406,250.92,491.94,313.62,2459.7,1568.1,717.223,466.302,2.0,0.4952,387.125,439.782,249.783,326.456
2517,0.7106,0.1445,347.995,412.14,214.31,2060.7,1071.56,922.756,574.761,2.0,0.4466,95.899,199.415,713.45,124.732
2518,0.8533,0.1752,260.8,596.57,239.47,2982.83,1197.37,1576.658,1315.858,1.0,1.1848,469.304,623.134,162.906,698.829
2519,0.8624,0.1085,375.076,361.65,35.38,1808.23,176.9,1420.064,1044.988,2.0,0.7046,209.234,172.202,462.681,507.659
2520,0.7717,0.0758,262.146,465.71,259.54,2328.56,1297.68,902.531,640.385,2.0,0.6284,513.755,298.228,415.976,104.34
2521,0.8394,0.1804,450.138,521.94,114.31,2609.72,571.55,1720.676,1270.538,2.0,0.7126,350.178,856.007,417.345,203.94
2522,0.8516,0.2355,309.734,445.94,389.79,2229.69,1948.95,223.33,-86.404,,,117.219,140.188,585.773,-84.93
2523,0.8679,0.1244,367.116,505.16,186.99,2525.79,934.93,1430.906,1063.79,2.0,0.7291,385.199,260.524,39.27,1115.864
2524,0.859,0.0918,420.287,612.29,335.25,3061.46,1676.27,1230.258,809.971,2.0,0.5111,355.431,210.172,618.642,458.552
2525,0.602,0.0575,371.649,308.19,271.68,1540.95,1358.41,134.082,-237.567,,,196.65,458.997,136.439,-22.091
2526,0.6933,0.1794,301.97,402.03,73.87,2010.16,369.37,1409.831,1107.861,2.0,0.8956,429.42,160.258,262.06,565.624
2527,0.9057,0.1263,419.82,769.38,285.69,3846.92,1428.45,2083.36,1663.54,2.0,0.958,328.06,636.233,544.834,851.356
2528,0.866,0.2673,355.524,501.11,195.5,2505.53,977.52,1304.304,948.78,2.0,0.6787,585.962,263.494,206.595,429.288
2529,0.7873,0.1086,362.707,315.47,139.89,1577.36,699.47,770.083,407.376,3.0,0.3178,407.755,165.738,141.816,234.533
2530,0.8872,0.1302,220.468,611.1,205.62,3055.49,1028.12,1774.504,1554.036,1.0,1.5961,342.699,626.345,426.011,632.286
2531,0.954,0.0308,305.137,364.63,129.27,1823.15,646.33,1010.331,705.193,2.0,0.5988,258.461,365.62,300.895,221.077
2532,0.7059,0.1097,365.686,433.4,189.7,2167.0,948.48,1000.236,634.551,2.0,0.4664,421.883,206.756,210.174,543.238
2533,0.8323,0.0937,383.758,537.07,330.45,2685.33,1652.23,977.854,594.096,2.0,0.422,127.781,214.641,520.655,583.71
2534,0.8494,0.3685,421.44,507.48,187.31,2537.39,936.55,1391.272,969.833,2.0,0.5966,766.845,281.668,296.413,352.453
2535,0.7404,0.0836,487.866,515.63,150.59,2578.13,752.94,1569.395,1081.53,2.0,0.5775,557.622,258.581,417.785,464.626
2536,0.7581,0.2138,222.246,527.28,155.94,2636.42,779.7,1656.499,1434.253,1.0,1.4746,276.732,391.698,455.041,668.609
2537,0.9482,0.1388,453.327,327.05,163.16,1635.25,815.8,703.234,249.907,4.0,0.1668,465.041,250.725,224.883,16.23
2538,0.9449,0.1985,367.621,445.37,291.98,2226.86,1459.92,678.344,310.723,3.0,0.2463,429.212,391.803,243.784,92.263
2539,0.766,0.0745,276.245,1006.09,229.9,5030.44,1149.48,3438.73,3162.485,1.0,2.4848,683.134,791.764,1002.352,1174.263
2540,0.8364,0.1312,448.488,322.67,101.97,1613.33,509.85,921.59,473.102,3.0,0.3005,222.294,325.957,0.0,499.94
2541,0.9018,0.1058,289.144,218.68,98.48,1093.39,492.41,530.321,241.177,3.0,0.2434,192.314,0.901,232.468,283.51
2542,0.8893,0.0566,434.948,302.08,207.89,1510.4,1039.47,426.978,-7.97,,,143.62,90.604,179.363,354.984
2543,0.9322,0.2127,363.091,545.21,266.76,2726.04,1333.8,1198.453,835.363,2.0,0.5965,457.219,349.914,457.222,178.154
2544,0.8356,0.1469,474.219,578.7,279.03,2893.49,1395.17,1279.605,805.386,2.0,0.4577,350.299,447.209,251.776,593.858
2545,0.7375,0.1764,449.354,314.18,177.71,1570.88,888.55,608.807,159.453,4.0,0.1106,100.919,170.021,506.69,131.697
2546,0.8951,0.0951,307.487,273.95,201.05,1369.74,1005.25,340.858,33.372,5.0,0.0354,144.329,79.158,51.257,477.91
