trial,detection_rate,false_positive_rate,capex_M,reactive_annual_tco_M,nadissp_annual_tco_M,reactive_5yr_tco_M,nadissp_5yr_tco_M,delta_tco_M,npv_M,payback_year,irr,ac_cmaps_turbofan,ac_ai4i_manufacturing,ac_3w_offshore_well,ac_espset_pump
277,0.9172,0.1265,409.715,508.59,263.42,2542.93,1317.08,1059.856,650.14,2.0,0.4312,349.608,600.665,322.394,152.5
278,0.8057,0.074,289.755,580.72,223.21,2903.62,1116.05,1560.426,1270.67,1.0,1.0471,708.475,526.777,211.924,376.029
279,0.8424,0.0962,372.014,424.8,155.92,2123.98,779.62,1144.382,772.368,2.0,0.5454,301.502,524.927,201.702,370.376
280,0.8997,0.1965,371.56,516.75,18.46,2583.76,92.29,2203.795,1832.235,1.0,1.1611,409.288,439.27,613.9,524.206
281,0.8489,0.0875,420.92,641.86,297.03,3209.31,1485.17,1474.247,1053.327,2.0,0.6418,344.363,525.126,663.46,445.795
282,0.9128,0.0787,500.155,771.53,259.87,3857.63,1299.34,2228.315,1728.161,2.0,0.8499,718.515,669.189,457.586,623.239
283,0.8376,0.1614,385.262,232.82,54.39,1164.08,271.97,790.639,405.378,3.0,0.2998,249.716,172.492,209.543,199.074
284,0.9285,0.1802,328.798,397.5,236.68,1987.5,1183.38,689.486,360.688,3.0,0.3112,194.961,288.76,177.558,456.912
285,0.7718,0.2282,202.49,370.31,36.28,1851.57,181.4,1489.627,1287.137,1.0,1.4548,346.462,295.789,239.911,514.864
286,0.7461,0.1907,279.098,342.67,140.93,1713.36,704.65,820.089,540.991,2.0,0.5137,341.077,153.641,205.048,272.667
287,0.8795,0.0912,398.151,251.02,134.31,1255.11,671.55,521.904,123.752,4.0,0.0976,115.053,97.239,255.905,238.005
288,0.8137,0.2541,236.111,620.45,328.32,3102.24,1641.58,1251.351,1015.241,1.0,1.0292,617.917,250.319,296.211,446.349
289,0.5975,0.1795,406.188,381.58,234.96,1907.91,1174.81,573.322,167.134,4.0,0.1271,203.497,254.013,508.27,137.345
290,0.8882,0.1659,442.016,328.72,326.66,1643.62,1633.32,-7.388,-449.404,,,63.65,395.389,111.221,107.757
291,0.7452,0.0144,361.878,346.36,53.62,1731.82,268.11,1252.099,890.221,2.0,0.6323,484.35,176.316,9.891,537.166
292,0.9042,0.3056,500.084,320.15,185.76,1600.73,928.79,582.749,82.665,5.0,0.0533,417.856,96.926,91.288,279.263
293,0.8615,0.1185,386.848,459.15,259.78,2295.75,1298.88,854.672,467.824,3.0,0.3393,334.85,325.937,258.368,315.661
294,0.6587,0.1509,321.263,763.75,99.83,3818.75,499.13,2863.46,2542.198,1.0,1.7717,821.114,670.855,402.074,897.216
295,0.7027,0.1402,328.253,704.66,174.69,3523.3,873.43,2269.81,1941.557,1.0,1.3642,535.799,638.505,363.083,811.154
296,0.7826,0.0357,222.903,599.21,261.15,2996.04,1305.74,1458.409,1235.506,1.0,1.2877,754.301,99.424,427.113,558.683
297,0.7444,0.097,337.859,581.73,157.01,2908.64,785.03,1899.192,1561.333,1.0,1.0965,456.144,449.32,372.68,767.035
298,0.7711,0.024,290.946,298.18,29.14,1490.89,145.7,1158.005,867.059,2.0,0.7471,242.543,143.154,227.714,488.141
299,0.791,0.0346,518.929,579.46,227.89,2897.31,1139.46,1495.513,976.584,2.0,0.5006,265.236,855.69,360.669,349.357
300,0.7579,0.0931,352.143,392.55,154.03,1962.73,770.16,1045.43,693.287,2.0,0.5208,317.028,599.994,310.465,-9.711
301,0.6677,0.1827,375.756,595.5,230.85,2977.52,1154.24,1566.944,1191.188,2.0,0.7884,341.945,428.831,492.417,638.192
302,0.8156,0.0835,351.863,528.04,260.76,2640.19,1303.8,1159.249,807.386,2.0,0.5951,471.541,234.497,225.756,736.111
303,0.8921,0.2059,540.53,400.57,256.32,2002.83,1281.58,628.24,87.71,5.0,0.0523,274.719,229.484,139.09,524.312
304,0.9155,0.1604,328.547,597.74,116.03,2988.72,580.13,2078.759,1750.212,1.0,1.2431,694.886,520.818,231.326,673.099
305,0.6923,0.2265,303.409,526.08,224.15,2630.38,1120.73,1295.34,991.932,2.0,0.8099,327.348,280.629,465.998,441.642
306,0.6993,0.0787,341.882,572.28,284.24,2861.42,1421.18,1205.388,863.506,2.0,0.647,81.323,135.988,562.08,991.074
307,0.9196,0.1781,362.859,579.72,54.97,2898.6,274.85,2223.77,1860.911,1.0,1.202,511.885,573.926,391.205,655.96
308,0.8175,0.0887,383.043,381.82,85.9,1909.12,429.52,1267.142,884.098,2.0,0.5982,330.974,166.047,215.6,554.364
309,0.8504,0.051,359.658,384.76,68.23,1923.8,341.17,1393.109,1033.451,2.0,0.7238,510.691,432.494,217.158,258.725
310,0.7929,0.192,356.148,315.17,41.73,1575.83,208.63,1194.085,837.937,2.0,0.6082,459.658,252.508,164.721,282.347
311,0.8351,0.1299,285.299,411.47,129.72,2057.35,648.62,1204.182,918.884,2.0,0.7994,586.146,207.665,202.447,363.752
312,0.8403,0.2156,332.334,679.69,132.24,3398.43,661.22,2449.844,2117.51,1.0,1.4579,706.511,646.418,508.537,643.465
313,0.7944,0.1585,293.949,381.29,20.49,1906.47,102.46,1597.288,1303.339,1.0,1.0573,383.702,505.109,104.961,512.773
314,0.8868,0.0761,428.396,443.07,91.34,2215.33,456.71,1516.073,1087.677,2.0,0.6499,256.841,380.832,369.92,590.373
315,0.7337,0.0255,286.339,285.56,169.11,1427.78,845.57,495.294,208.955,3.0,0.2156,160.769,244.992,300.568,114.151
316,0.8685,0.332,351.396,350.3,151.81,1751.51,759.07,864.546,513.15,3.0,0.4008,177.385,179.535,182.098,522.468
317,0.8816,0.2083,409.804,622.19,170.36,3110.94,851.8,1994.475,1584.671,2.0,0.9378,599.908,524.383,979.62,-42.71
318,0.7128,0.1698,384.239,515.04,166.97,2575.2,834.86,1441.438,1057.199,2.0,0.697,545.879,127.19,391.578,645.097
319,0.7253,0.0749,441.253,693.31,286.65,3466.53,1433.23,1741.765,1300.512,2.0,0.74,337.157,607.554,644.117,457.166
320,0.8219,0.3147,433.625,642.18,18.53,3210.89,92.64,2674.636,2241.011,1.0,1.2102,608.473,564.447,367.452,926.615
321,0.7062,0.1354,322.948,441.94,96.75,2209.68,483.77,1464.226,1141.278,2.0,0.8668,742.959,292.54,304.104,237.214
322,0.9095,0.0624,342.391,403.63,125.63,2018.14,628.15,1202.634,860.243,2.0,0.644,114.739,376.023,355.964,563.409
323,0.7427,0.0687,425.616,575.67,294.44,2878.34,1472.19,1171.621,746.005,2.0,0.4705,269.811,452.374,513.545,472.995
324,0.7552,0.0655,524.359,400.53,170.02,2002.65,850.11,992.007,467.649,3.0,0.2585,312.13,375.785,180.833,324.43
325,0.9216,0.1411,341.959,680.92,136.96,3404.62,684.82,2310.863,1968.904,1.0,1.3319,652.19,857.844,230.575,761.666
326,0.8653,0.1331,299.613,386.72,190.21,1933.59,951.07,868.083,568.47,2.0,0.5042,71.377,172.77,259.456,662.625
327,0.8211,0.1748,398.185,422.96,47.65,2114.78,238.26,1584.365,1186.18,2.0,0.7469,247.647,314.884,358.311,611.874
328,0.9217,0.2408,325.527,446.83,231.72,2234.17,1158.62,934.763,609.236,2.0,0.4982,384.204,351.111,208.253,421.571
329,0.6959,0.1392,348.689,272.39,137.4,1361.97,687.01,594.718,246.029,3.0,0.2091,18.783,288.203,334.886,202.0
330,0.8209,0.2559,254.809,412.44,368.53,2062.22,1842.66,181.579,-73.231,,,255.303,273.441,143.953,190.472
331,0.9155,0.1066,331.75,314.33,183.92,1571.65,919.6,593.42,261.67,3.0,0.2314,388.076,182.45,296.432,-18.893
332,0.8918,0.0355,335.944,678.86,141.08,3394.28,705.42,2318.836,1982.892,1.0,1.3617,577.537,537.952,523.201,798.019
333,0.7393,0.2174,306.011,160.77,102.0,803.83,510.01,247.596,-58.415,,,82.291,34.973,133.533,190.828
334,0.8721,0.0571,378.82,394.85,223.56,1974.26,1117.82,779.19,400.371,3.0,0.301,266.246,179.296,348.139,362.779
335,0.7997,0.1071,375.373,532.64,128.01,2663.19,640.05,1701.232,1325.859,2.0,0.8664,392.089,272.915,726.101,382.466
336,0.8444,0.0203,588.214,408.65,118.62,2043.27,593.12,1255.054,666.839,3.0,0.3204,247.478,314.899,96.351,777.228
337,0.8233,0.0838,422.005,596.07,334.28,2980.35,1671.38,1214.143,792.138,2.0,0.4995,410.497,433.694,214.665,659.011
338,0.7398,0.1008,369.75,425.01,44.48,2125.06,222.38,1652.379,1282.629,2.0,0.8529,250.556,503.234,293.183,566.963
339,0.9286,0.0357,324.616,310.96,136.77,1554.81,683.83,763.583,438.967,3.0,0.3746,222.394,115.368,286.322,382.2
340,0.8509,0.0982,484.731,448.79,124.66,2243.94,623.32,1433.755,949.024,2.0,0.5182,278.341,485.853,401.002,386.545
341,0.8779,0.1044,531.133,598.26,175.96,2991.32,879.8,1780.936,1249.803,2.0,0.6083,346.683,564.149,458.1,615.209
342,0.8835,0.1929,299.253,521.48,168.16,2607.38,840.82,1545.571,1246.318,1.0,1.0007,519.799,385.572,315.719,536.373
343,0.8979,0.0885,385.693,401.33,246.3,2006.66,1231.52,675.215,289.522,3.0,0.2212,801.347,143.466,-11.649,90.632
344,0.914,0.0697,338.915,424.35,158.73,2121.77,793.64,1159.248,820.333,2.0,0.6234,413.838,91.814,405.216,467.203
345,0.8577,0.1505,337.765,755.94,149.37,3779.71,746.86,2608.51,2270.745,1.0,1.5297,899.189,358.451,436.175,958.809
346,0.8337,0.0179,432.934,507.94,388.89,2539.69,1944.43,502.116,69.182,5.0,0.0515,318.745,288.078,237.848,333.419
347,0.8437,0.2453,381.809,312.16,256.87,1560.78,1284.35,249.713,-132.096,,,333.599,59.1,420.404,-157.856
348,0.8588,0.1118,339.414,804.5,328.34,4022.49,1641.68,2007.365,1667.951,1.0,1.1575,401.515,215.53,638.142,1004.671
349,0.8787,0.0789,276.093,633.53,441.98,3167.67,2209.92,878.736,602.642,2.0,0.5698,257.922,411.879,729.603,152.207
350,0.8478,0.1427,267.78,657.07,299.73,3285.33,1498.66,1577.465,1309.685,1.0,1.1527,814.051,279.097,181.177,738.358
351,0.8091,0.0761,412.308,439.95,131.3,2199.73,656.51,1329.078,916.77,2.0,0.579,370.781,197.447,631.742,321.501
352,0.9303,0.0487,344.508,266.65,166.21,1333.26,831.03,432.593,88.085,4.0,0.081,280.675,311.838,143.598,-7.979
353,0.723,0.2705,323.535,331.08,85.64,1655.42,428.22,1057.165,733.629,2.0,0.589,317.762,217.751,250.517,351.311
354,0.7744,0.141,371.139,437.79,21.14,2188.94,105.68,1834.471,1463.332,2.0,0.9538,195.342,376.641,435.047,681.579
355,0.9107,0.0968,383.002,601.41,112.51,3007.03,562.56,2141.184,1758.181,1.0,1.0901,624.691,480.696,422.485,590.568
